ICAO,llegada_punto,salida_punto,despegue,tiempo_espera,aircraft_type,llegada_lon,llegada_lat,salida_lon,salida_lat,holding_point,parado,runway,fecha_despegue,hora_despegue
344416,2024-11-07 07:12:11.642,2024-11-07 07:12:30.639,2024-11-07 07:16:11.919,240.277,Medium 2 (between 34000 kg to 136000 kg),-3.573131561279297,40.49184637554621,-3.5734904896129263,40.49184637554621,Z3,False,18R/36L,2024-11-07,7
4ca6aa,2024-11-07 07:16:27.190,2024-11-07 07:16:33.235,2024-11-07 07:17:31.478,64.288,Medium 2 (between 34000 kg to 136000 kg),-3.5609123923561787,40.4994111141916,-3.5603505914861504,40.499469304488876,Y1,False,18L/36R,2024-11-07,7
345688,2024-11-07 07:17:14.863,2024-11-07 07:17:24.916,2024-11-07 07:18:19.958,65.095,Medium 2 (between 34000 kg to 136000 kg),-3.5609123923561787,40.50029560671014,-3.5603505914861504,40.50037707312632,Y2,False,18L/36R,2024-11-07,7
4952cc,2024-11-07 07:25:18.112,2024-11-07 07:25:25.383,2024-11-07 07:27:06.766,108.654,Medium 2 (between 34000 kg to 136000 kg),-3.5761278325861148,40.491741633011124,-3.575653076171875,40.49198913574219,Z2,False,18R/36L,2024-11-07,7
490d83,2024-11-07 07:26:14.765,2024-11-07 07:26:21.418,2024-11-07 07:27:20.453,65.688,Medium 1 (between 7000 kg and 34000 kg),-3.5609130859375,40.499427795410156,-3.5603485107421875,40.49949645996094,Y1,False,18L/36R,2024-11-07,7
3451d9,2024-11-07 07:27:07.172,2024-11-07 07:27:14.518,2024-11-07 07:29:40.122,152.95,Medium 2 (between 34000 kg to 136000 kg),-3.5763092041015625,40.49250411987305,-3.5757598876953125,40.492652893066406,Z4,False,18R/36L,2024-11-07,7
4ca80b,2024-11-07 07:28:52.744,2024-11-07 07:29:26.199,2024-11-07 07:32:12.402,199.658,Medium 2 (between 34000 kg to 136000 kg),-3.576143438165838,40.49176490913003,-3.5756378173828125,40.491966247558594,Z2,False,18R/36L,2024-11-07,7
aabf87,2024-11-07 07:31:30.796,2024-11-07 07:31:54.400,2024-11-07 07:35:48.798,258.002,Heavy (larger than 136000 kg),-3.57281494140625,40.49058151245117,-3.5733184814453125,40.4908332824707,Z1,False,18R/36L,2024-11-07,7
347312,2024-11-07 07:37:35.854,2024-11-07 07:37:42.397,2024-11-07 07:38:32.137,56.283,Medium 2 (between 34000 kg to 136000 kg),-3.560927997935902,40.49942275225106,-3.5603661970658735,40.499492580607786,Y1,False,18L/36R,2024-11-07,7
345583,2024-11-07 07:32:31.926,2024-11-07 07:35:40.838,2024-11-07 07:39:22.879,410.953,Medium 2 (between 34000 kg to 136000 kg),-3.576315099542791,40.49250974493511,-3.5757598876953125,40.4926643371582,Z4,True,18R/36L,2024-11-07,7
